Time	Sealevel
0       0
0.081	-11.74200
0.085	-9.91080
0.128	-13.84100
0.190	-32.83200
0.193	-16.74600
0.251	-35.54100
0.257	-38.20200
0.258	-43.59700
0.259	-40.83900
0.266	-48.86900
0.267	-46.28200
0.305	-32.78300
0.315	-30.19600
0.317	-27.48600
0.322	-24.75200
0.329	-22.16500
0.334	-19.43100
0.339	-16.69700
0.357	-14.03600
0.375	-11.37500
0.395	-8.73910
0.460	-1.26960
0.466	-3.63740
0.486	-6.20050
0.558	-16.99000
0.559	-51.89600
0.563	-14.32900
0.564	-11.59500
0.565	-8.93440
0.566	-4.66260
0.571	-49.18700
0.574	-46.52600
0.581	-43.81700
0.582	-41.15600
0.587	-38.42200
0.591	-35.78600
0.597	-33.07600
0.599	-30.41500
0.604	-27.70600
0.607	-25.04500
0.612	-22.33600
0.616	-19.67500
0.672	-16.96500
0.682	-14.30500
0.687	-11.57100
0.695	-8.98320
0.702	-6.20050
0.714	0.85409
0.725	-3.44210
0.752	-1.26960
0.858	-4.05240
0.879	-6.71310
0.888	-9.44700
0.898	-12.10800
0.908	-14.76800
0.964	-17.55100
0.972	-22.84800
0.976	-20.11400
0.978	-30.87900
0.979	-25.50900
0.982	-33.54000
0.989	-36.27400
1.030	-14.79300
1.034	-12.05900
1.042	-9.47140
1.047	-6.73750
1.050	-4.00350
1.055	-1.39170
1.064	-17.47800
1.087	1.39110
1.176	4.00300
1.238	6.59050
1.268	4.80850
1.341	-8.64150
1.349	-5.95640
1.361	-3.29560
1.372	2.14780
1.377	-0.61052
1.472	4.95500
1.482	7.61570
1.487	9.12910
1.492	-0.19555
1.498	2.36750
1.511	-5.76110
1.512	-3.07600
1.556	-27.19300
1.560	-24.55700
1.561	-8.47060
1.562	-21.84700
1.563	-16.47700
1.568	-19.16200
1.569	-13.81600
1.570	-11.08200
1.631	-5.71230
1.641	-3.12480
1.649	-0.31760
1.658	2.24550
1.661	-8.44620
1.679	5.00380
1.744	12.30200
1.747	10.52100
1.752	8.00630
1.858	5.56530
1.885	2.78250
1.890	0.12178
1.893	-2.58770
1.902	-5.27290
1.905	-7.90920
1.910	-10.64300
1.916	-13.30400
1.920	-15.96500
2.043	8.66530
2.117	7.07870
2.225	9.08030
2.248	4.93060
2.258	10.96000
2.303	-0.34201
2.306	2.24550
2.308	-3.07600
2.310	-5.73670
2.316	-8.44620
2.321	-11.08200
2.325	-13.81600
2.330	-16.45300
2.333	-19.16200
2.393	3.78330
2.409	5.95580
2.441	8.64090
2.504	11.32600
2.675	13.35200
2.715	14.67000
2.829	12.96200
2.980	10.98400
3.153	8.59210
3.177	5.66290
3.186	3.05100
3.237	-5.00440
